Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"124", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"125", 0.416, 1,    237.337,  -29.7,   0.98817, 2,    227.822, -150.6,   0.94856, 3,    240.726,   89.0,    1.0023
"126", 0.416, 1,    235.898,  -29.6,   0.98218, 2,    225.702, -150.5,   0.93973, 3,    239.558,   89.0,   0.99742
"127", 0.416, 1,    235.904,  -29.6,   0.98221, 2,     225.68, -150.5,   0.93964, 3,    239.535,   89.0,   0.99732
"128", 0.416, 1,    234.447,  -29.5,   0.97614, 2,    223.895, -150.5,    0.9322, 3,    238.716,   89.0,   0.99391
"129", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"130", 0.416, 1,    237.338,  -29.7,   0.98818, 2,    227.809, -150.6,    0.9485, 3,    240.721,   89.0,    1.0023
"131", 0.416, 1,    235.898,  -29.6,   0.98218, 2,    225.702, -150.5,   0.93973, 3,    239.558,   89.0,   0.99742
"132", 0.416, 1,    235.856,  -29.6,   0.98201, 2,     225.68, -150.5,   0.93964, 3,    239.535,   89.0,   0.99733
"133", 0.416, 1,    235.934,  -29.6,   0.98233, 2,    225.626, -150.5,   0.93941, 3,    239.477,   89.0,   0.99708
"134", 0.416, 1,     234.35,  -29.5,   0.97574, 2,    223.774, -150.5,    0.9317, 3,    238.659,   89.0,   0.99368
"135", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"136", 0.416, 1,    237.339,  -29.7,   0.98818, 2,    227.796, -150.6,   0.94845, 3,    240.717,   89.0,    1.0022
"137", 0.416, 1,    235.898,  -29.6,   0.98218, 2,    225.702, -150.5,   0.93973, 3,    239.558,   89.0,   0.99742
"138", 0.416, 1,    235.852,  -29.6,   0.98199, 2,     225.68, -150.5,   0.93964, 3,    239.535,   89.0,   0.99733
"139", 0.416, 1,    235.955,  -29.6,   0.98242, 2,    225.586, -150.5,   0.93925, 3,    239.435,   89.0,   0.99691
"140", 0.416, 1,    234.241,  -29.5,   0.97528, 2,    223.637, -150.5,   0.93113, 3,    238.595,   89.0,   0.99341
"141", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"142", 0.416, 1,     237.34,  -29.7,   0.98819, 2,    227.776, -150.6,   0.94836, 3,     240.71,   89.0,    1.0022
"143", 0.416, 1,    235.898,  -29.6,   0.98218, 2,    225.702, -150.5,   0.93973, 3,    239.558,   89.0,   0.99742
"144", 0.416, 1,    235.848,  -29.6,   0.98197, 2,     225.68, -150.5,   0.93964, 3,    239.535,   89.0,   0.99733
"145", 0.416, 1,     235.97,  -29.6,   0.98248, 2,    225.559, -150.5,   0.93913, 3,    239.406,   89.0,   0.99679
"146", 0.416, 1,    234.138,  -29.5,   0.97485, 2,    223.508, -150.5,   0.93059, 3,    238.535,   89.0,   0.99316
"147", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"148", 0.416, 1,    237.348,  -29.7,   0.98822, 2,    227.677, -150.6,   0.94795, 3,    240.677,   89.0,    1.0021
"149", 0.416, 1,    235.898,  -29.6,   0.98218, 2,    225.702, -150.5,   0.93973, 3,    239.558,   89.0,   0.99742
"150", 0.416, 1,    235.844,  -29.6,   0.98196, 2,     225.68, -150.5,   0.93964, 3,    239.535,   89.0,   0.99733
"151", 0.416, 1,    235.973,  -29.6,   0.98249, 2,    225.569, -150.5,   0.93918, 3,    239.374,   89.0,   0.99665
"152", 0.416, 1,    235.974,  -29.6,    0.9825, 2,    225.223, -150.5,   0.93773, 3,    239.407,   89.0,   0.99679
"153", 0.416, 1,    234.019,  -29.5,   0.97436, 2,    223.358, -150.5,   0.92997, 3,    238.465,   89.0,   0.99287
"154", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"155", 0.416, 1,     237.35,  -29.7,   0.98823, 2,    227.656, -150.6,   0.94786, 3,    240.669,   89.0,     1.002
"156", 0.416, 1,    235.898,  -29.6,   0.98218, 2,    225.702, -150.5,   0.93973, 3,    239.558,   89.0,   0.99742
"157", 0.416, 1,    235.839,  -29.6,   0.98194, 2,     225.68, -150.5,   0.93964, 3,    239.536,   89.0,   0.99733
"158", 0.416, 1,    235.981,  -29.6,   0.98253, 2,    225.596, -150.5,   0.93929, 3,    239.287,   89.0,   0.99629
"159", 0.416, 1,    235.974,  -29.6,    0.9825, 2,    225.203, -150.5,   0.93765, 3,    239.407,   89.0,   0.99679
"160", 0.416, 1,    233.984,  -29.5,   0.97421, 2,    223.315, -150.5,   0.92979, 3,    238.444,   89.0,   0.99278
"161", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"162", 0.416, 1,     237.36,  -29.7,   0.98827, 2,    226.743, -150.5,   0.94407, 3,    240.672,   89.0,    1.0021
"163", 0.416, 1,    237.336,  -29.7,   0.98817, 2,     227.64, -150.6,    0.9478, 3,    240.635,   89.0,    1.0019
"164", 0.416, 1,    235.898,  -29.6,   0.98218, 2,    225.702, -150.5,   0.93973, 3,    239.558,   89.0,   0.99742
"165", 0.416, 1,    235.833,  -29.6,   0.98191, 2,     225.68, -150.5,   0.93964, 3,    239.536,   89.0,   0.99733
"166", 0.416, 1,    235.984,  -29.6,   0.98254, 2,    225.605, -150.5,   0.93933, 3,    239.257,   89.0,   0.99617
"167", 0.416, 1,    235.974,  -29.6,    0.9825, 2,    225.184, -150.5,   0.93757, 3,    239.407,   89.0,   0.99679
"168", 0.416, 1,    233.788,  -29.4,    0.9734, 2,    223.069, -150.5,   0.92877, 3,    238.329,   89.0,    0.9923
"169", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"170", 0.416, 1,    237.362,  -29.7,   0.98828, 2,    226.571, -150.5,   0.94335, 3,    240.673,   89.0,    1.0021
"171", 0.416, 1,    237.318,  -29.7,   0.98809, 2,    227.618, -150.6,   0.94771, 3,    240.589,   89.0,    1.0017
"172", 0.416, 1,    235.898,  -29.6,   0.98218, 2,    225.702, -150.5,   0.93973, 3,    239.558,   89.0,   0.99742
"173", 0.416, 1,    235.829,  -29.6,   0.98189, 2,     225.68, -150.5,   0.93964, 3,    239.536,   89.0,   0.99733
"174", 0.416, 1,    235.984,  -29.6,   0.98254, 2,    225.605, -150.5,   0.93933, 3,    239.257,   89.0,   0.99617
"175", 0.416, 1,    235.984,  -29.6,   0.98254, 2,    225.608, -150.5,   0.93934, 3,    239.015,   89.0,   0.99516
"176", 0.416, 1,    235.974,  -29.6,    0.9825, 2,    225.176, -150.4,   0.93754, 3,    239.407,   89.0,   0.99679
"177", 0.416, 1,    233.678,  -29.4,   0.97294, 2,    222.931, -150.5,   0.92819, 3,    238.265,   89.0,   0.99203
"178", 0.416, 1,    237.366,  -29.7,   0.98829, 2,    226.215, -150.5,   0.94187, 3,    240.674,   89.0,    1.0021
"179", 0.416, 1,    237.314,  -29.7,   0.98808, 2,    227.611, -150.6,   0.94768, 3,    240.592,   89.0,    1.0017
"180", 0.416, 1,    237.318,  -29.7,   0.98809, 2,     227.62, -150.6,   0.94771, 3,    240.454,   89.0,    1.0011
"181", 0.416, 1,    235.898,  -29.6,   0.98218, 2,    225.702, -150.5,   0.93973, 3,    239.558,   89.0,   0.99742
"182", 0.416, 1,    235.824,  -29.6,   0.98187, 2,     225.68, -150.5,   0.93964, 3,    239.536,   89.0,   0.99733
"183", 0.416, 1,    235.984,  -29.6,   0.98254, 2,    225.605, -150.5,   0.93933, 3,    239.257,   89.0,   0.99617
"184", 0.416, 1,    235.984,  -29.6,   0.98254, 2,    225.608, -150.5,   0.93934, 3,    238.989,   89.0,   0.99505
"185", 0.416, 1,    235.974,  -29.6,    0.9825, 2,    225.159, -150.4,   0.93747, 3,    239.407,   89.0,   0.99679
"186", 0.416, 1,    233.596,  -29.4,    0.9726, 2,    222.828, -150.5,   0.92776, 3,    238.216,   89.0,   0.99183
"187", 0.416, 1,    237.298,  -29.7,   0.98801, 2,    227.584, -150.6,   0.94757, 3,    240.603,   89.0,    1.0018
"188", 0.416, 1,     237.32,  -29.7,    0.9881, 2,    227.626, -150.6,   0.94774, 3,    239.893,   89.0,   0.99882
"189", 0.416, 1,    235.898,  -29.6,   0.98218, 2,    225.702, -150.5,   0.93973, 3,    239.558,   89.0,   0.99742
"190", 0.416, 1,    235.819,  -29.6,   0.98185, 2,     225.68, -150.5,   0.93964, 3,    239.536,   89.0,   0.99733
"191", 0.416, 1,    235.984,  -29.6,   0.98254, 2,    225.605, -150.5,   0.93933, 3,    239.257,   89.0,   0.99617
"192", 0.416, 1,    235.984,  -29.6,   0.98254, 2,    225.605, -150.5,   0.93933, 3,    239.257,   89.0,   0.99617
"193", 0.416, 1,    235.984,  -29.6,   0.98254, 2,    225.609, -150.5,   0.93934, 3,    238.963,   89.0,   0.99494
"194", 0.416, 1,    235.975,  -29.6,    0.9825, 2,    225.117, -150.4,   0.93729, 3,    239.408,   89.0,   0.99679
"195", 0.416, 1,    233.522,  -29.4,   0.97229, 2,    222.735, -150.5,   0.92738, 3,    238.173,   89.0,   0.99165
"196", 0.416, 1,     237.27,  -29.7,   0.98789, 2,    227.536, -150.6,   0.94736, 3,    240.622,   89.0,    1.0018
"197", 0.416, 1,     237.32,  -29.7,    0.9881, 2,    227.627, -150.6,   0.94774, 3,    239.805,   89.0,   0.99845
"198", 0.416, 1,     237.32,  -29.7,    0.9881, 2,    227.626, -150.6,   0.94774, 3,    239.881,   89.0,   0.99876
"199", 0.416, 1,    235.898,  -29.6,   0.98218, 2,    225.702, -150.5,   0.93973, 3,    239.558,   89.0,   0.99742
"200", 0.416, 1,    235.813,  -29.6,   0.98183, 2,     225.68, -150.5,   0.93964, 3,    239.536,   89.0,   0.99733
"201", 0.416, 1,    235.984,  -29.6,   0.98254, 2,    225.605, -150.5,   0.93933, 3,    239.257,   89.0,   0.99617
"202", 0.416, 1,    235.984,  -29.6,   0.98254, 2,    225.605, -150.5,   0.93933, 3,    239.257,   89.0,   0.99617
"203", 0.416, 1,    235.985,  -29.6,   0.98254, 2,    225.609, -150.5,   0.93934, 3,    238.943,   89.0,   0.99486
"204", 0.416, 1,    235.975,  -29.6,    0.9825, 2,    225.092, -150.4,   0.93719, 3,    239.408,   89.0,   0.99679
"205", 0.416, 1,     233.43,  -29.4,   0.97191, 2,     222.62, -150.5,    0.9269, 3,    238.119,   89.0,   0.99143
"206", 0.416, 1,    237.158,  -29.7,   0.98743, 2,    227.536, -150.6,   0.94737, 3,    240.623,   89.0,    1.0019
"207", 0.416, 1,    237.274,  -29.7,   0.98791, 2,    227.522, -150.6,   0.94731, 3,    240.623,   89.0,    1.0019
"208", 0.416, 1,    237.321,  -29.7,    0.9881, 2,    227.629, -150.6,   0.94775, 3,    239.583,   89.0,   0.99752
"209", 0.416, 1,     237.32,  -29.7,    0.9881, 2,    227.626, -150.6,   0.94774, 3,    239.879,   89.0,   0.99876
"210", 0.416, 1,    235.898,  -29.6,   0.98218, 2,    225.702, -150.5,   0.93973, 3,    239.558,   89.0,   0.99742
