Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"18", 4.16, 1,    2399.25,   -2.3,   0.99895, 2,    2478.54, -121.2,     1.032, 3,    2431.39,  118.8,    1.0123
"11", 4.16, 1,     2415.7,   -1.5,    1.0058, 0, 0, 0, 0, 0, 0, 0, 0
"10", 4.16, 1,     2416.5,   -1.5,    1.0061, 0, 0, 0, 0, 0, 0, 0, 0
"15", 4.16, 3,    2445.87,  118.9,    1.0184, 0, 0, 0, 0, 0, 0, 0, 0
"16", 4.16, 3,    2443.54,  118.9,    1.0174, 0, 0, 0, 0, 0, 0, 0, 0
"17", 4.16, 3,    2444.78,  118.9,    1.0179, 0, 0, 0, 0, 0, 0, 0, 0
"19", 4.16, 1,    2396.09,   -2.3,   0.99763, 0, 0, 0, 0, 0, 0, 0, 0
"21", 4.16, 1,    2397.93,   -2.3,    0.9984, 2,    2478.67, -121.2,     1.032, 3,    2428.58,  118.8,    1.0112
"20", 4.16, 1,    2394.03,   -2.3,   0.99678, 0, 0, 0, 0, 0, 0, 0, 0
"22", 4.16, 2,    2475.24, -121.2,    1.0306, 0, 0, 0, 0, 0, 0, 0, 0
"23", 4.16, 1,    2396.92,   -2.4,   0.99798, 2,    2479.58, -121.2,    1.0324, 3,    2425.89,  118.8,      1.01
"24", 4.16, 3,    2422.44,  118.8,    1.0086, 0, 0, 0, 0, 0, 0, 0, 0
"25", 4.16, 1,    2395.33,   -2.4,   0.99732, 2,    2480.67, -121.2,    1.0328, 3,    2423.78,  118.8,    1.0092
"25R", 4.16, 1,    2395.33,   -2.4,   0.99731, 3,    2408.63,  118.8,    1.0029, 0, 0, 0, 0
"26", 4.16, 1,    2394.71,   -2.5,   0.99706, 3,    2407.44,  118.8,    1.0024, 0, 0, 0, 0
"28", 4.16, 1,    2394.44,   -2.5,   0.99695, 2,    2481.22, -121.2,    1.0331, 3,    2422.97,  118.8,    1.0088
"27", 4.16, 1,    2393.85,   -2.5,    0.9967, 3,    2407.37,  118.8,    1.0023, 0, 0, 0, 0
"31", 4.16, 3,    2406.02,  118.8,    1.0018, 0, 0, 0, 0, 0, 0, 0, 0
"33", 4.16, 1,    2390.69,   -2.5,   0.99538, 0, 0, 0, 0, 0, 0, 0, 0
"29", 4.16, 1,    2394.04,   -2.5,   0.99678, 2,    2481.58, -121.2,    1.0332, 3,    2421.89,  118.8,    1.0084
"30", 4.16, 1,    2394.67,   -2.5,   0.99704, 2,    2481.48, -121.2,    1.0332, 3,     2420.8,  118.8,    1.0079
"250", 4.16, 1,    2394.67,   -2.5,   0.99704, 2,    2481.48, -121.2,    1.0332, 3,     2420.8,  118.8,    1.0079
"32", 4.16, 3,    2405.07,  118.8,    1.0014, 0, 0, 0, 0, 0, 0, 0, 0
"35", 4.16, 1,    2392.59,   -2.4,   0.99617, 2,    2472.43, -121.3,    1.0294, 3,    2428.85,  118.8,    1.0113
"36", 4.16, 1,    2390.35,   -2.4,   0.99524, 2,    2471.31, -121.3,    1.0289, 0, 0, 0, 0
"40", 4.16, 1,    2388.94,   -2.4,   0.99466, 2,    2469.68, -121.3,    1.0283, 3,    2426.34,  118.7,    1.0102
"37", 4.16, 1,    2388.46,   -2.4,   0.99445, 0, 0, 0, 0, 0, 0, 0, 0
"38", 4.16, 2,    2469.75, -121.4,    1.0283, 0, 0, 0, 0, 0, 0, 0, 0
"39", 4.16, 2,    2468.75, -121.4,    1.0279, 0, 0, 0, 0, 0, 0, 0, 0
"41", 4.16, 3,    2425.32,  118.7,    1.0098, 0, 0, 0, 0, 0, 0, 0, 0
"42", 4.16, 1,    2385.12,   -2.4,   0.99307, 2,    2466.97, -121.4,    1.0271, 3,    2424.22,  118.7,    1.0093
"43", 4.16, 2,    2463.73, -121.4,    1.0258, 0, 0, 0, 0, 0, 0, 0, 0
"44", 4.16, 1,     2382.5,   -2.5,   0.99197, 2,    2465.27, -121.4,    1.0264, 3,    2422.24,  118.7,    1.0085
"45", 4.16, 1,    2381.23,   -2.5,   0.99144, 0, 0, 0, 0, 0, 0, 0, 0
"47", 4.16, 1,       2380,   -2.5,   0.99093, 2,     2462.7, -121.4,    1.0254, 3,    2419.83,  118.6,    1.0075
"46", 4.16, 1,    2380.27,   -2.5,   0.99104, 0, 0, 0, 0, 0, 0, 0, 0
"48", 4.16, 1,    2379.34,   -2.5,   0.99066, 2,       2462, -121.5,    1.0251, 3,     2419.3,  118.6,    1.0073
"49", 4.16, 1,    2379.34,   -2.5,   0.99066, 2,    2461.37, -121.5,    1.0248, 3,    2419.07,  118.6,    1.0072
"50", 4.16, 1,    2379.29,   -2.5,   0.99064, 2,    2461.44, -121.4,    1.0248, 3,    2418.26,  118.6,    1.0069
"51", 4.16, 1,     2378.9,   -2.5,   0.99047, 2,    2461.63, -121.4,    1.0249, 3,    2418.23,  118.6,    1.0068
"151", 4.16, 1,     2378.9,   -2.5,   0.99047, 2,    2461.63, -121.4,    1.0249, 3,    2418.23,  118.6,    1.0068
"52", 4.16, 1,    2406.58,   -2.2,     1.002, 2,    2485.45, -121.2,    1.0348, 3,    2441.38,  118.7,    1.0165
"53", 4.16, 1,    2400.06,   -2.4,   0.99929, 2,    2483.59, -121.3,    1.0341, 3,    2437.56,  118.5,    1.0149
"54", 4.16, 1,     2396.4,   -2.5,   0.99776, 2,    2482.21, -121.4,    1.0335, 3,    2435.21,  118.5,    1.0139
"55", 4.16, 1,    2395.89,   -2.5,   0.99755, 2,    2482.04, -121.4,    1.0334, 3,    2435.38,  118.5,     1.014
"57", 4.16, 1,    2388.89,   -2.8,   0.99463, 2,    2475.42, -121.6,    1.0307, 3,    2429.01,  118.2,    1.0113
"56", 4.16, 1,    2395.82,   -2.5,   0.99752, 2,    2481.62, -121.4,    1.0332, 3,    2435.58,  118.5,    1.0141
"58", 4.16, 2,    2473.87, -121.6,      1.03, 0, 0, 0, 0, 0, 0, 0, 0
"60", 4.16, 1,    2373.27,   -3.5,   0.98813, 2,    2463.29, -122.0,    1.0256, 3,     2414.5,  117.8,    1.0053
"59", 4.16, 2,     2473.1, -121.6,    1.0297, 0, 0, 0, 0, 0, 0, 0, 0
"61", 4.16, 1,    2373.25,   -3.5,   0.98812, 2,    2463.27, -122.0,    1.0256, 3,    2414.47,  117.8,    1.0053
"62", 4.16, 1,    2371.42,   -3.5,   0.98736, 2,    2460.57, -122.0,    1.0245, 3,    2409.56,  117.8,    1.0032
"63", 4.16, 1,    2369.96,   -3.5,   0.98675, 2,    2458.48, -121.9,    1.0236, 3,    2407.15,  117.8,    1.0022
"64", 4.16, 1,    2369.16,   -3.4,   0.98642, 2,    2453.95, -121.9,    1.0217, 3,    2401.97,  117.7,    1.0001
"65", 4.16, 1,     2367.5,   -3.4,   0.98573, 2,    2453.14, -121.9,    1.0214, 3,    2394.76,  117.7,   0.99708
"66", 4.16, 1,    2368.07,   -3.5,   0.98596, 2,    2453.71, -121.8,    1.0216, 3,    2391.15,  117.7,   0.99558
"67", 4.16, 1,    2487.39,   -3.7,    1.0356, 2,    2476.44, -122.2,    1.0311, 3,    2484.82,  117.6,    1.0346
"68", 4.16, 1,    2483.71,   -3.8,    1.0341, 0, 0, 0, 0, 0, 0, 0, 0
"72", 4.16, 1,    2488.34,   -3.8,     1.036, 2,    2474.28, -122.3,    1.0302, 3,    2484.33,  117.5,    1.0344
"97", 4.16, 1,    2484.98,   -3.8,    1.0346, 2,    2475.23, -122.2,    1.0306, 3,    2483.07,  117.6,    1.0338
"69", 4.16, 1,     2479.5,   -3.8,    1.0324, 0, 0, 0, 0, 0, 0, 0, 0
"70", 4.16, 1,    2476.51,   -3.8,    1.0311, 0, 0, 0, 0, 0, 0, 0, 0
"71", 4.16, 1,    2474.83,   -3.8,    1.0304, 0, 0, 0, 0, 0, 0, 0, 0
"73", 4.16, 3,    2479.16,  117.5,    1.0322, 0, 0, 0, 0, 0, 0, 0, 0
"76", 4.16, 1,    2488.13,   -3.9,     1.036, 2,    2473.02, -122.4,    1.0297, 3,    2485.84,  117.5,     1.035
"74", 4.16, 3,    2474.73,  117.5,    1.0304, 0, 0, 0, 0, 0, 0, 0, 0
"75", 4.16, 3,    2472.28,  117.4,    1.0294, 0, 0, 0, 0, 0, 0, 0, 0
"77", 4.16, 1,    2490.92,   -3.9,    1.0371, 2,    2475.76, -122.4,    1.0308, 3,    2487.98,  117.4,    1.0359
"86", 4.16, 1,    2486.02,   -3.9,    1.0351, 2,    2468.76, -122.5,    1.0279, 3,    2489.28,  117.4,    1.0364
"78", 4.16, 1,    2491.65,   -4.0,    1.0374, 2,    2476.75, -122.4,    1.0312, 3,    2488.37,  117.4,    1.0361
"79", 4.16, 1,    2490.92,   -4.0,    1.0371, 2,    2477.07, -122.5,    1.0314, 3,    2488.26,  117.4,     1.036
"80", 4.16, 1,    2496.68,   -4.0,    1.0395, 2,    2480.78, -122.5,    1.0329, 3,    2490.46,  117.3,    1.0369
"81", 4.16, 1,    2498.59,   -4.1,    1.0403, 2,    2482.79, -122.5,    1.0337, 3,    2490.97,  117.2,    1.0371
"82", 4.16, 1,    2500.66,   -4.1,    1.0412, 2,     2485.8, -122.6,     1.035, 3,    2492.84,  117.2,    1.0379
"84", 4.16, 3,    2484.78,  117.2,    1.0346, 0, 0, 0, 0, 0, 0, 0, 0
"83", 4.16, 1,    2503.48,   -4.1,    1.0423, 2,    2488.47, -122.6,    1.0361, 3,    2494.83,  117.2,    1.0387
"85", 4.16, 3,    2481.88,  117.2,    1.0334, 0, 0, 0, 0, 0, 0, 0, 0
"87", 4.16, 1,    2484.79,   -3.9,    1.0346, 2,    2466.84, -122.6,    1.0271, 3,     2490.6,  117.4,     1.037
"88", 4.16, 1,    2484.69,   -4.0,    1.0345, 0, 0, 0, 0, 0, 0, 0, 0
"89", 4.16, 1,    2483.76,   -3.9,    1.0341, 2,     2466.2, -122.7,    1.0268, 3,    2491.57,  117.4,    1.0374
"90", 4.16, 2,    2465.98, -122.7,    1.0267, 0, 0, 0, 0, 0, 0, 0, 0
"91", 4.16, 1,    2483.28,   -3.9,    1.0339, 2,    2465.41, -122.7,    1.0265, 3,    2492.08,  117.4,    1.0376
"92", 4.16, 3,    2491.91,  117.3,    1.0375, 0, 0, 0, 0, 0, 0, 0, 0
"93", 4.16, 1,    2482.52,   -3.9,    1.0336, 2,    2465.02, -122.7,    1.0263, 3,    2492.31,  117.4,    1.0377
"94", 4.16, 1,    2480.84,   -3.9,    1.0329, 0, 0, 0, 0, 0, 0, 0, 0
"95", 4.16, 1,    2482.43,   -3.9,    1.0336, 2,    2464.11, -122.7,     1.026, 3,    2492.76,  117.4,    1.0379
"96", 4.16, 2,    2463.49, -122.7,    1.0257, 0, 0, 0, 0, 0, 0, 0, 0
"98", 4.16, 1,    2484.49,   -3.8,    1.0344, 2,    2474.61, -122.2,    1.0303, 3,    2482.58,  117.6,    1.0336
"99", 4.16, 1,    2485.19,   -3.8,    1.0347, 2,    2472.65, -122.2,    1.0295, 3,    2481.76,  117.6,    1.0333
"100", 4.16, 1,    2485.66,   -3.8,    1.0349, 2,    2472.49, -122.2,    1.0294, 3,    2480.79,  117.6,    1.0329
"450", 4.16, 1,    2485.66,   -3.8,    1.0349, 2,    2472.49, -122.2,    1.0294, 3,    2480.79,  117.6,    1.0329
"197", 4.16, 1,    2484.98,   -3.8,    1.0346, 2,    2475.23, -122.2,    1.0306, 3,    2483.07,  117.6,    1.0338
"101", 4.16, 1,    2483.01,   -3.8,    1.0338, 2,    2474.59, -122.2,    1.0303, 3,    2481.78,  117.6,    1.0333
"102", 4.16, 3,    2478.33,  117.6,    1.0319, 0, 0, 0, 0, 0, 0, 0, 0
"105", 4.16, 1,    2479.83,   -3.9,    1.0325, 2,    2474.21, -122.2,    1.0302, 3,    2482.44,  117.6,    1.0336
"103", 4.16, 3,    2474.34,  117.6,    1.0302, 0, 0, 0, 0, 0, 0, 0, 0
"104", 4.16, 3,    2470.04,  117.5,    1.0284, 0, 0, 0, 0, 0, 0, 0, 0
"106", 4.16, 2,    2471.45, -122.3,     1.029, 0, 0, 0, 0, 0, 0, 0, 0
"108", 4.16, 1,    2476.28,   -3.9,     1.031, 2,    2475.76, -122.3,    1.0308, 3,    2482.09,  117.7,    1.0334
"107", 4.16, 2,    2467.91, -122.3,    1.0275, 0, 0, 0, 0, 0, 0, 0, 0
"109", 4.16, 1,    2466.39,   -4.0,    1.0269, 0, 0, 0, 0, 0, 0, 0, 0
"300", 4.16, 1,    2476.28,   -3.9,     1.031, 2,    2475.77, -122.3,    1.0308, 3,    2482.09,  117.7,    1.0334
"110", 4.16, 1,    2461.65,   -4.0,    1.0249, 0, 0, 0, 0, 0, 0, 0, 0
"111", 4.16, 1,    2459.88,   -4.1,    1.0242, 0, 0, 0, 0, 0, 0, 0, 0
"112", 4.16, 1,    2460.06,   -4.1,    1.0243, 0, 0, 0, 0, 0, 0, 0, 0
"113", 4.16, 1,    2455.04,   -4.1,    1.0222, 0, 0, 0, 0, 0, 0, 0, 0
"114", 4.16, 1,    2454.04,   -4.1,    1.0218, 0, 0, 0, 0, 0, 0, 0, 0
"135", 4.16, 1,    2399.25,   -2.3,   0.99895, 2,    2478.54, -121.2,     1.032, 3,    2431.39,  118.8,    1.0123
"152", 4.16, 1,    2420.93,   -1.8,     1.008, 2,    2488.48, -121.0,    1.0361, 3,    2449.16,  118.9,    1.0197
"160R", 4.16, 1,    2491.93,   -3.5,    1.0375, 2,    2478.69, -122.0,     1.032, 3,    2489.95,  117.8,    1.0367
"160", 4.16, 1,    2373.27,   -3.5,   0.98813, 2,    2463.29, -122.0,    1.0256, 3,     2414.5,  117.8,    1.0053
"61S", 4.16, 1,    2373.25,   -3.5,   0.98812, 2,    2463.27, -122.0,    1.0256, 3,    2414.47,  117.8,    1.0053
"300_OPEN", 4.16, 1,     2378.9,   -2.5,   0.99047, 2,    2461.63, -121.4,    1.0249, 3,    2418.23,  118.6,    1.0068
"94_OPEN", 4.16, 1,     2396.4,   -2.5,   0.99776, 0, 0, 0, 0, 0, 0, 0, 0
"610", 0.48, 1,    275.281,   -3.3,   0.99333, 2,    282.403, -121.8,     1.019, 3,    278.515,  117.4,     1.005
